MB_CODE_2021,MB_CATEGORY_NAME_2021,AREA_ALBERS_SQKM,Dwelling,Person,State,
50002270000,Residential,0.0319,42,78,5,
50002280000,Residential,0.0343,41,72,5,
50002290000,Residential,0.0381,54,97,5,
50002300000,Parkland,0.0384,0,0,5,
50002310000,Residential,0.0318,38,74,5,
50002340000,Residential,0.058,51,108,5,
50002350000,Residential,0.0307,31,61,5,
50002360000,Residential,0.0277,27,68,5,
50002370000,Residential,0.0361,40,67,5,
50002380000,Parkland,0.0286,0,0,5,
50002390000,Residential,0.0387,40,74,5,
50002400000,Residential,0.0358,33,68,5,
50002410000,Residential,0.3462,26,65,5,
50002440000,Residential,0.0346,30,61,5,
50002451000,Residential,0.0802,56,129,5,
50002452000,Residential,0.043,40,106,5,
50002461000,Residential,0.1673,36,72,5,
50002462000,Residential,0.0794,69,191,5,
50002470000,Residential,0.0616,51,120,5,
50002480000,Residential,0.0943,56,123,5,
50002490000,Education,0.1139,0,0,5,
50002502000,Commercial,0.0313,0,0,5,
50002503000,Commercial,0.0048,0,0,5,
50002504000,Commercial,0.0073,0,3,5,
50002505000,Commercial,0.0323,0,0,5,
50002506000,Commercial,0.0037,0,0,5,
50002521000,Commercial,0.0347,6,0,5,
50002522000,Commercial,0.0241,0,0,5,
50002523000,Commercial,0.0126,0,0,5,
50002524000,Commercial,0.032,0,0,5,
50002525000,Commercial,0.0295,8,7,5,
50002530000,Residential,0.0321,31,88,5,
50002540000,Residential,0.0621,57,117,5,
50002550000,Parkland,0.3957,0,0,5,
50002560000,Parkland,0.039,0,0,5,
50002570000,Parkland,0.0214,0,0,5,
50002580000,Parkland,0.0345,0,0,5,
50002590000,Parkland,0.0183,0,0,5,
50002600000,Parkland,0.0043,0,0,5,
50002620000,Parkland,6.3416,0,0,5,
50002630000,Residential,0.0433,41,83,5,
50002640000,Residential,0.9648,38,82,5,
50002650000,Parkland,0.0412,0,0,5,
50002651000,Parkland,0.088,0,0,5,
50002660000,Parkland,0.0875,0,0,5,
50002661000,Parkland,0.1622,0,0,5,
50002662000,Parkland,1.723,0,0,5,
50002670000,Residential,0.1512,35,84,5,
50002680000,Primary Production,10.557,17,47,5,
50002690000,Parkland,0.0152,0,0,5,
50002700000,Residential,0.0399,32,73,5,
50002710000,Residential,0.0515,49,118,5,
50002720000,Residential,0.0507,34,69,5,
50002730000,Residential,0.0516,44,93,5,
50002740000,Parkland,0.1088,0,0,5,
50002750000,Parkland,2.5027,0,3,5,
50002760000,Parkland,0.0195,0,0,5,
50002770000,Parkland,0.6207,0,0,5,
50002780000,Water,1.9254,0,0,5,
50002800000,Parkland,0.0152,0,0,5,
50002810000,Parkland,0.0235,0,0,5,
50002820000,Parkland,5.9691,0,0,5,
50002840000,Parkland,3.2395,0,0,5,
50002850000,Parkland,0.0356,0,0,5,
50002860000,Parkland,0.1798,0,0,5,
50002870000,Parkland,0.1382,0,0,5,
50002880000,Water,0.7321,0,0,5,
50002890000,Water,2.5899,0,0,5,
50002900000,Residential,0.1717,13,8,5,
50002910000,Primary Production,23.4994,62,110,5,
50002920000,Parkland,10.6712,0,0,5,
50002930000,Primary Production,76.6479,67,146,5,
50002940000,Parkland,0.0895,0,0,5,
50002950000,Parkland,2.6897,0,0,5,
50002960000,Water,1.2384,0,0,5,
50002970000,Parkland,14.8133,0,0,5,
50002980000,Residential,0.0846,55,119,5,
50002990000,Residential,0.1046,54,124,5,
50003000000,Parkland,0.1832,0,0,5,
50003010000,Residential,0.0467,34,69,5,
50003020000,Parkland,11.1919,0,0,5,
50003030000,Residential,0.7002,22,52,5,
50003040000,Parkland,0.2213,6,19,5,
50003050000,Parkland,0.9583,0,0,5,
50003060000,Parkland,1.064,0,0,5,
50003070000,Parkland,0.0023,0,0,5,
50003080000,Parkland,0.011,0,0,5,
50003090000,Parkland,0.0006,0,0,5,
50003100000,Parkland,0.0009,0,0,5,
50003110000,Parkland,0.0017,0,0,5,
50003120000,Parkland,1.9475,0,0,5,
50003140000,Parkland,9.4361,0,4,5,
50003150000,Water,1.209,0,0,5,
50003160000,Parkland,8.5466,0,0,5,
50003190000,Parkland,10.0728,0,0,5,
50003200000,Parkland,0.0674,0,0,5,
50003210000,Parkland,0.0394,0,0,5,
50003220000,Parkland,0.1479,0,0,5,
50003240000,Residential,0.0757,24,54,5,
50003250000,Parkland,0.0111,0,0,5,
50003260000,Parkland,7.6393,0,0,5,
50003270000,Parkland,7.7243,0,0,5,
50003290000,Parkland,0.5367,0,0,5,
50003300000,Residential,0.9634,9,18,5,
50003310000,Parkland,4.6778,0,0,5,
50003320000,Primary Production,24.7414,94,149,5,
50003331000,Primary Production,32.6327,75,173,5,
50003332000,Primary Production,54.3901,29,71,5,
50003333000,Primary Production,17.4255,27,62,5,
50003340000,Other,148.8243,40,58,5,
50003350000,Water,0.6079,0,0,5,
50003360000,Parkland,1.0711,0,0,5,
50003370000,Primary Production,48.7597,22,57,5,
50003380000,Residential,0.09,35,87,5,
50003390000,Primary Production,0.2568,91,232,5,
50003400000,Residential,0.0385,36,74,5,
50003410000,Other,13.9977,17,34,5,
50003420000,Water,1.1891,0,0,5,
50003430000,Residential,0.0706,33,84,5,
50003440000,Residential,0.0704,40,89,5,
50003450000,Residential,0.0471,37,90,5,
50003460000,Education,0.0463,0,0,5,
50003471000,Primary Production,14.329,73,153,5,
50003472000,Other,8.4266,38,79,5,
50003473000,Primary Production,9.4786,11,15,5,
50003480000,Residential,0.6322,52,124,5,
50003490000,Primary Production,131.6557,13,22,5,
50003500000,Parkland,8.4124,0,0,5,
50003510000,Residential,0.2907,0,0,5,
50003520000,Education,0.048,0,0,5,
50003530000,Residential,0.1937,40,103,5,
50003540000,Residential,0.0997,32,85,5,
50003550000,Residential,0.0721,47,93,5,
50003560000,Residential,0.0871,43,103,5,
50003570000,Residential,0.1477,43,97,5,
50003580000,Water,0.2797,0,0,5,
50003590000,Residential,0.0678,35,84,5,
50003600000,Residential,0.0979,51,107,5,
50003611000,Residential,0.2992,63,168,5,
50003612000,Residential,0.0319,38,94,5,
50003613000,Residential,0.02,20,58,5,
50003614000,Residential,0.0298,33,85,5,
50003621000,Industrial,0.0521,0,0,5,
50003622000,Industrial,0.0398,3,14,5,
50003623000,Industrial,0.044,0,0,5,
50003630000,Residential,0.0871,49,89,5,
50003640000,Residential,0.0457,34,75,5,
50003650000,Primary Production,49.7289,22,52,5,
50003660000,Parkland,0.0151,0,0,5,
50003670000,Residential,0.071,16,50,5,
50003680000,Residential,0.1785,47,93,5,
50003690000,Residential,0.1401,44,104,5,
50003700000,Residential,0.0832,56,122,5,
50003720000,Residential,0.078,36,96,5,
50003730000,Residential,0.0861,50,112,5,
50003740000,Residential,3.4138,30,83,5,
50003750000,Residential,0.5145,63,188,5,
50003760000,Residential,0.5432,66,151,5,
50003770000,Parkland,0.0488,0,0,5,
50003780000,Residential,0.3151,26,80,5,
50003790000,Parkland,0.0188,0,0,5,
50003800000,Parkland,0.0278,0,0,5,
50003810000,Residential,0.2268,49,87,5,
50003820000,Residential,0.0585,45,124,5,
50003830000,Residential,0.0375,31,62,5,
50003840000,Residential,0.0676,47,82,5,
50003850000,Residential,0.055,37,109,5,
50003860000,Residential,0.0615,35,93,5,
50003870000,Residential,0.6994,15,38,5,
50003880000,Residential,0.0526,18,18,5,
50003890000,Parkland,0.0484,0,0,5,
50003901000,Primary Production,34.2889,152,411,5,
50003902000,Primary Production,24.3378,35,79,5,
50003910000,Residential,0.0887,42,101,5,
50003921000,Primary Production,173.8521,81,185,5,
50003922000,Parkland,3.0725,0,0,5,
50003923000,Primary Production,83.8319,41,81,5,
50003930000,Residential,0.0617,50,109,5,
50003940000,Parkland,0.2244,0,0,5,
50003950000,Residential,0.0603,48,88,5,
50003960000,Primary Production,463.6255,31,62,5,
50003970000,Parkland,11.2089,0,0,5,
50003980000,Primary Production,2.3829,46,117,5,
50003990000,Residential,0.3986,63,144,5,
50004010000,Parkland,4.3377,0,0,5,
50004021000,Primary Production,333.4252,18,41,5,
50004022000,Primary Production,229.4057,18,35,5,
50004030000,Other,97.312,9,10,5,
50004040000,Parkland,13.3565,0,0,5,
50004050000,Parkland,0.2771,0,0,5,
50004061000,Primary Production,0.6048,5,10,5,
50004062000,Residential,0.376,43,79,5,
50004070000,Residential,0.1817,35,91,5,
50004080000,Parkland,0.7408,0,0,5,
50004091000,Industrial,0.4138,8,13,5,
50004092000,Industrial,0.1121,0,0,5,
50004093000,Industrial,0.2566,3,14,5,
50004100000,Parkland,0.0579,0,0,5,
50004120000,Primary Production,315.6005,13,23,5,
50004130000,Parkland,89.5003,0,0,5,
50004140000,Parkland,7.9869,0,0,5,
50004151000,Residential,0.0479,48,130,5,
50004152000,Residential,0.0708,63,189,5,
50004153000,Residential,0.0492,50,132,5,
50004154000,Residential,0.0305,23,57,5,
50004156000,Residential,0.0395,46,113,5,
50004170000,Residential,1.2191,44,119,5,
50004180000,Other,1.8359,64,142,5,
50004190000,Residential,0.436,49,107,5,
50004200000,Parkland,12.4302,10,18,5,
50004211000,Primary Production,51.2041,42,80,5,
50004212000,Primary Production,69.5522,40,91,5,
50004220000,Parkland,6.1115,0,0,5,
50004232000,Residential,0.0909,56,133,5,
50004240000,Primary Production,347.9028,25,33,5,
50004250000,Residential,1.0591,26,78,5,
50004261000,Primary Production,15.689,13,40,5,
50004262000,Primary Production,0.8374,17,67,5,
50004270000,Residential,1.5175,50,101,5,
50004280000,Primary Production,2.4896,31,72,5,
50004290000,Primary Production,2.4069,50,135,5,
50004300000,Primary Production,20.0192,54,116,5,
50004310000,Parkland,4.2558,0,0,5,
50004320000,Primary Production,19.3687,69,182,5,
50004330000,Primary Production,171.9486,140,286,5,
50004341000,Primary Production,18.2282,25,55,5,
50004342000,Primary Production,14.6365,35,38,5,
50004343000,Other,1.6837,38,69,5,
50004350000,Residential,0.9378,33,46,5,
