website,https://www.kfc.com.au/: 23
amenity,ferry_terminal: 23
shop,stationery: 23
amenity,nightclub: 23
brand,Puma: 23
addr:street,Nicholson Road: 23
brand:wikidata,Q1142936: 23
check_date,2024-02-03: 23
addr:suburb,Palmyra: 23
waste,dog_excrement: 23
shop,computer: 23
name,Bankwest: 23
local_ref,8: 23
brand,Grill'd: 23
brand:wikidata,Q18165852: 23
name,Grill'd: 23
cuisine,bubble_tea: 23
check_date,2023-09-04: 23
payment:cheque,yes: 23
addr:housenumber,35: 22
payment:contactless,yes: 22
addr:housenumber,21: 22
addr:postcode,6168: 22
addr:housenumber,16: 22
addr:postcode,6021: 22
created_by,Potlatch 0.10b: 22
cuisine,ice_cream: 22
website,https://www.dominos.com.au/: 22
material,stone: 22
surface,fine_gravel: 22
drinking_water,yes: 22
amenity,public_bookcase: 22
waste,recycling: 22
material,steel: 22
addr:housenumber,46: 21
amenity,courthouse: 21
addr:postcode,6011: 21
addr:housenumber,14: 21
power_supply,yes: 21
addr:housenumber,23: 21
addr:housenumber,33: 21
fuel:lpg,yes: 21
short_name,Bunnings: 21
operator,BP: 21
addr:street,South Street: 21
brand,Chicken Treat: 21
brand:wikidata,Q5096274: 21
name,Chicken Treat: 21
brand,Kmart: 21
brand:wikidata,Q6421682: 21
addr:postcode,6017: 21
changing_table,yes: 21
shop,dry_cleaning: 21
opening_hours,Mo-We,Fr 08:30-20:00; Th 08:30-21:00; Sa 08:30-17:00; Su 11:00-17:00: 21
brand,Nando's: 21
brand:wikidata,Q3472954: 21
cuisine,chicken;portuguese: 21
name,Nando's: 21
name,Staff Parking: 21
addr:postcode,6159: 21
addr:suburb,North Coogee: 21
addr:suburb,Malaga: 21
check_date,2024-04-05: 21
name,Commonwealth Bank: 21
amenity,university: 20
addr:street,Wanneroo Road: 20
addr:postcode,6101: 20
leisure,marina: 20
addr:housenumber,60: 20
addr:housenumber,32: 20
tourism,motel: 20
opening_hours,Mo-Fr 09:00-17:00: 20
amenity,arts_centre: 20
check_date,2023-09-02: 20
payment:notes,yes: 20
ferry,yes: 20
delivery,no: 20
brand:wikipedia,en:Coles Express: 20
name,Kmart: 20
cuisine,korean: 20
service:bicycle:pump,yes: 20
informal,yes: 20
name,Bakers Delight: 20
shop,greengrocer: 20
armrest,no: 20
check_date,2023-05-15: 20
amenity,ticket_validator: 20
waste,trash;recycling: 20
golf:course,18_hole: 19
internet_access:fee,customers: 19
addr:street,Wellington Street: 19
addr:housenumber,9: 19
addr:suburb,Fremantle: 19
addr:postcode,6060: 19
addr:suburb,Bicton: 19
addr:housenumber,17: 19
addr:postcode,6057: 19
park_ride,yes: 19
landuse,grass: 19
brand:wikipedia,en:Caltex: 19
bicycle_parking,shed: 19
name,NAB: 19
bus,no: 19
sport,horse_racing: 19
addr:suburb,Butler: 19
addr:street,Leach Highway: 19
shop,coffee: 19
